Date,si_news
2023-02-20,-1.0
2023-02-21,0.333
2023-02-22,0.0
2023-02-23,0.111
2023-02-24,0.143
2023-02-27,0.6
2023-02-28,0.2
2023-03-01,0.0
2023-03-02,0.333
2023-03-03,0.4
2023-03-06,0.2
2023-03-07,0.462
2023-03-08,0.333
2023-03-09,0.111
2023-03-10,0.0
2023-03-11,0.0
2023-03-13,-0.25
2023-03-14,0.286
2023-03-15,-0.2
2023-03-16,0.0
2023-03-17,0.333
2023-04-18,0.0
2023-04-19,0.125
2023-04-20,0.167
2023-04-21,0.25
2023-04-24,0.133
2023-04-25,0.143
2023-04-26,0.118
2023-04-27,0.167
2023-04-28,0.167
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,-0.167
2023-05-03,0.0
2023-05-04,0.071
2023-05-05,0.25
2023-05-08,0.0
2023-05-09,0.231
2023-05-10,0.357
2023-05-11,0.2
2023-05-12,0.5
2023-05-15,0.5
2023-05-16,0.286
2023-05-17,0.0
2023-05-19,0.0
2023-05-22,0.0
2023-05-23,0.125
2023-05-24,0.167
2023-05-25,0.118
2023-05-26,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.143
2023-06-01,0.2
2023-06-02,0.333
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-12,-0.143
2023-06-13,0.1
2023-06-14,0.083
2023-06-15,0.182
2023-06-16,0.333
2023-06-19,0.143
2023-06-20,0.0
2023-06-21,0.091
2023-06-22,0.143
2023-06-23,0.0
2023-06-26,0.0
2023-06-27,0.111
2023-06-28,0.111
2023-06-29,0.0
2023-06-30,-0.167
2023-07-03,0.143
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.4
2023-07-07,-0.333
2023-07-10,0.0
2023-07-11,-0.25
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,-0.143
2023-07-17,0.6
2023-07-18,0.2
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.2
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.333
2023-07-27,0.0
2023-07-28,-0.2
2023-07-31,0.2
2023-08-01,-0.143
2023-08-02,0.4
2023-08-03,-0.167
2023-08-04,0.5
2023-08-07,-0.333
2023-08-08,0.111
2023-08-09,0.2
2023-08-10,0.0
2023-08-11,0.5
2023-08-12,0.0
2023-08-14,0.143
2023-08-15,0.333
2023-08-16,0.25
2023-08-17,-0.333
2023-08-18,1.0
2023-08-21,0.333
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.111
2023-08-25,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.6
2023-08-30,0.0
2023-08-31,0.167
2023-09-01,0.0
2023-09-04,0.25
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-11,0.2
2023-09-12,0.143
2023-09-13,-0.333
2023-09-14,0.071
2023-09-15,-0.2
2023-09-18,0.0
2023-09-19,-0.148
2023-09-20,-0.108
2023-09-21,-0.081
2023-09-22,-0.151
2023-09-23,0.0
2023-09-24,-0.162
2023-09-25,-0.131
2023-09-26,-0.162
2023-09-27,-0.191
2023-09-28,-0.054
2023-09-29,-0.01
2023-10-01,-0.051
2023-10-02,-0.139
2023-10-03,-0.127
2023-10-04,-0.042
2023-10-05,-0.071
2023-10-06,-0.088
2023-10-07,-0.038
2023-10-08,-0.098
2023-10-09,-0.092
2023-10-10,-0.055
2023-10-11,-0.182
2023-10-12,-0.034
2023-10-13,-0.086
2023-10-15,-0.07
2023-10-16,-0.124
2023-10-17,-0.04
2023-10-18,-0.055
2023-10-19,-0.018
2023-10-20,-0.344
2023-10-21,-0.065
2023-10-23,-0.115
2023-10-24,-0.064
2023-10-25,-0.062
2023-10-26,-0.096
2023-10-27,0.027
2023-10-29,-0.038
2023-10-30,0.053
2023-10-31,-0.087
2023-11-01,-0.11
2023-11-02,0.016
2023-11-03,-0.076
2023-11-04,0.0
2023-11-05,0.021
2023-11-06,-0.103
2023-11-07,-0.042
2023-11-08,0.02
2023-11-09,-0.013
2023-11-10,-0.113
2023-11-11,-0.1
2023-11-12,-0.273
2023-11-13,-0.031
2023-11-14,-0.039
2023-11-15,-0.025
2023-11-16,-0.099
2023-11-17,-0.056
2023-11-19,0.0
2023-11-20,-0.31
2023-11-21,-0.063
2023-11-22,0.021
2023-11-23,-0.04
2023-11-24,-0.068
2023-11-25,-0.091
2023-11-26,-0.32
2023-11-27,0.0
2023-11-28,-0.136
2023-11-29,-0.008
2023-11-30,0.021
2023-12-01,-0.026
2023-12-03,-0.091
2023-12-04,-0.159
2023-12-05,-0.204
2023-12-06,-0.09
2023-12-07,-0.102
2023-12-08,-0.007
2023-12-09,0.031
2023-12-10,0.062
2023-12-11,-0.063
2023-12-12,-0.115
2023-12-13,-0.028
2023-12-14,0.0
2023-12-15,-0.043
2023-12-17,-0.179
2023-12-18,-0.142
2023-12-19,-0.126
2023-12-20,-0.155
2023-12-21,-0.22
2023-12-22,-0.171
2023-12-24,0.0
2023-12-25,-0.078
2023-12-26,-0.219
2023-12-27,-0.123
2023-12-28,-0.102
2023-12-29,0.02
2023-12-31,-0.143
2024-01-01,-0.062
2024-01-02,-0.007
