Date,SP_Close,Open,Volume,High,Low,Adj Close,Gdp,Zew,Gfk,Ifo,Interest,Inf,Co_usd,Oil_usd,Gold_usd,Bond_2,Bond_10,Eu_usd,Close,SMA_20,EMA_20,RSI_14,Middle_Band,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD,MACD_Signal,Low_14,High_14,%k,%d,CMF
2020-05-15,3224.72998046875,3224.2099609375,4012850000.0,3233.52001953125,3205.64990234375,3224.72998046875,882.046,28.2,2.3,75.2,0.0,1.0,2.333,32.5,1741.34998,-0.732,-0.527,1.08161,10465.169921875,10634.84951171875,10573.971584080953,52.311272915486356,10634.84951171875,11076.426404284573,10193.272619152927,10607.358238343799,10563.37775730861,43.98048103518886,76.37380241666827,10337.01953125,11107.740234375,16.627345042814532,14.505920343082657,335.20100634131114
2020-05-18,3251.840087890625,3224.2900390625,3979340000.0,3258.610107421875,3215.159912109375,3251.840087890625,882.046,28.2,2.3,75.2,0.0,1.0,2.422,34.81,1732.0699,-0.705,-0.481,1.09148,11058.8701171875,10656.50400390625,10620.152396757767,56.512958052361604,10656.50400390625,11136.972219486699,10176.0357883258,10676.821604319752,10600.080895077417,76.74070924233456,76.44718378180153,10337.01953125,11107.740234375,93.65916641536306,36.80233062037633,347.4174365896774
2020-05-19,3257.300048828125,3268.52001953125,4556610000.0,3277.2900390625,3247.77001953125,3257.300048828125,882.046,28.2,2.3,75.2,0.0,1.0,2.416,34.65,1743.8083,-0.672,-0.461,1.09268,11075.2900390625,10676.473486328125,10663.498838882027,54.7513052434718,10676.473486328125,11192.238839591906,10160.708133064343,10738.124440434021,10635.281572409645,102.842868024376,81.72632063031642,10337.01953125,11107.740234375,95.7896297347501,68.69204706430928,355.2546033241565
2020-05-20,3276.02001953125,3254.860107421875,4267160000.0,3279.320068359375,3253.10009765625,3276.02001953125,882.046,28.2,2.3,75.2,0.0,1.0,2.463,35.75,1748.05005,-0.67,-0.466,1.0979,11223.7099609375,10725.16650390625,10716.852279077786,52.08631779043885,10725.16650390625,11255.033547958235,10195.299459854265,10812.829905126864,10678.868860448745,133.96104467811892,92.17326543987693,10337.01953125,11223.7099609375,100.0,96.48293205003777,358.80079826424253
2020-05-21,3235.659912109375,3271.639892578125,4296760000.0,3279.989990234375,3222.659912109375,3235.659912109375,882.046,28.2,2.3,75.2,0.0,1.0,2.441,36.06,1725.59998,-0.694,-0.499,1.09503,11065.9296875,10757.711474609376,10750.09774654657,53.79584149109708,10757.711474609376,11287.330446731607,10228.092502487145,10851.768333184269,10707.540032822912,144.22830036135747,102.58427242417305,10337.01953125,11223.7099609375,82.20570921317972,92.66511298264332,365.7075165147833
2020-05-22,3215.6298828125,3218.580078125,3689410000.0,3227.260009765625,3200.050048828125,3215.6298828125,882.046,28.2,2.3,75.2,0.0,1.0,2.403,35.13,1734.80005,-0.677,-0.488,1.09036,11073.8701171875,10785.715478515625,10780.933210417134,63.1738557326744,10785.715478515625,11320.235696263931,10251.19526076732,10885.937838415535,10734.675594627697,151.2622437878381,112.31986669690606,10337.01953125,11223.7099609375,83.10122239586947,88.43564386968312,380.77934858467313
2020-05-25,3239.409912109375,3219.840087890625,3970310000.0,3241.429931640625,3214.25,3239.409912109375,882.046,28.2,2.3,75.2,0.0,1.0,2.421,35.53,1729.1925,-0.68,-0.488,1.08979,11391.2802734375,10838.475,10839.061502133358,64.02861763144843,10838.475,11394.02224416622,10282.92775583378,10963.682828418914,10783.312978243237,180.36985017567713,125.92986339266028,10337.01953125,11391.2802734375,100.0,88.43564386968312,406.23768527776605
2020-05-26,3218.43994140625,3234.27001953125,4053180000.0,3243.719970703125,3216.169921875,3218.43994140625,882.046,28.2,2.3,75.2,0.0,1.0,2.417,36.17,1711.2485,-0.642,-0.426,1.09796,11504.650390625,10880.7080078125,10902.450920084944,69.12464812184058,10880.7080078125,11503.480386254609,10257.935629370391,11046.908607219852,10836.745379160406,210.16322805944583,142.77653632601738,10337.01953125,11504.650390625,100.0,94.36707413195654,421.53483753776595
2020-05-27,3258.43994140625,3227.219970703125,4478200000.0,3264.739990234375,3227.219970703125,3258.43994140625,882.046,28.2,2.3,75.2,0.0,1.0,2.4025,34.74,1708.8744,-0.64,-0.42,1.10154,11657.6904296875,10923.81103515625,10974.378492428044,69.1242630266701,10923.81103515625,11634.862413141496,10212.759657171004,11140.875041445644,10897.556123643893,243.318917801751,162.88501262116412,10337.01953125,11657.6904296875,100.0,100.0,432.5270010921668
2020-05-28,3246.219970703125,3231.760009765625,4264920000.0,3250.919921875,3204.1298828125,3246.219970703125,882.046,28.2,2.3,75.2,0.0,1.0,2.406,35.29,1718.504,-0.63,-0.42,1.10727,11781.1298828125,10957.480517578126,11051.211958178945,68.8354050364606,10957.480517578126,11762.734942286002,10152.226092870249,11239.375786271314,10963.006031730458,276.36975454085587,185.58196100510247,10337.01953125,11781.1298828125,100.0,100.0,421.44766515866
