trial,model,loss,acc,f1,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs,mode
18,LSTM,0.694697916507721,0.5288852725793328,0.4652365546550033,150,1,4,32,0.0135079737474364,90,UP/DOWN
19,LSTM,0.6932653188705444,0.5102543068088597,0.4203841947941996,107,1,14,128,0.0461720045529649,57,UP/DOWN
20,LSTM,0.6919568777084351,0.5307629204265791,0.3544962377058893,244,1,14,128,0.0020157246398023,96,UP/DOWN
21,LSTM,0.6898820996284485,0.532626427406199,0.3475252794039383,164,1,7,128,0.0127550592840496,113,UP/DOWN
22,LSTM,0.6902869939804077,0.532626427406199,0.3475252794039383,164,1,7,128,0.0128557413207086,14,UP/DOWN
23,LSTM,0.6911511421203613,0.532626427406199,0.3475252794039383,173,1,7,128,0.022083067058185,14,UP/DOWN
24,LSTM,0.6926990747451782,0.5319502074688797,0.347237269772481,122,1,28,128,0.0461583736825707,11,UP/DOWN
25,LSTM,0.6926253437995911,0.531326281529699,0.3606450773832748,76,1,4,128,0.0030305534395681,59,UP/DOWN
26,LSTM,0.6907334923744202,0.5324036095159967,0.3490151327771907,158,1,14,64,0.0115795016041897,29,UP/DOWN
27,LSTM,0.6909710168838501,0.5277324632952691,0.3545907582027019,186,2,7,256,0.0241038594144627,124,UP/DOWN
28,LSTM,0.6921725273132324,0.532626427406199,0.3475252794039383,120,1,7,32,0.0001109583138733,105,UP/DOWN
29,LSTM,0.6928070783615112,0.5097879282218597,0.4707420770341915,87,1,7,128,0.0065707269168683,163,UP/DOWN
30,LSTM,0.6920755505561829,0.5242001640689089,0.3997806332432322,226,2,14,128,0.0032612913846922,147,UP/DOWN
31,LSTM,0.6932852864265442,0.532626427406199,0.3475252794039383,158,1,7,128,0.0098096103143793,96,UP/DOWN
32,LSTM,0.6919066905975342,0.5309951060358891,0.3499571678990693,142,1,7,128,0.0160101037329347,71,UP/DOWN
33,LSTM,0.7001530528068542,0.5065252854812398,0.5064986909470757,195,1,7,128,0.0359200579998563,119,UP/DOWN
34,LSTM,0.690998911857605,0.532626427406199,0.3475252794039383,172,1,7,128,0.0089476854357532,88,UP/DOWN
35,LSTM,0.6942074298858643,0.5319502074688797,0.347237269772481,214,1,28,128,0.0621215663722421,136,UP/DOWN
36,LSTM,0.6898370385169983,0.532626427406199,0.3475252794039383,144,1,7,256,0.0182409639118891,37,UP/DOWN
37,LSTM,0.7137452363967896,0.5371287128712872,0.3901512127786862,131,1,21,256,0.0003522048207347,31,UP/DOWN
38,LSTM,0.6910200715065002,0.532626427406199,0.3475252794039383,202,2,7,256,0.0200052565737571,39,UP/DOWN
39,LSTM,0.6905618906021118,0.5296989422294548,0.3844520775853702,181,1,4,256,0.0670886381576939,20,UP/DOWN
40,LSTM,0.7052842974662781,0.5327800829875519,0.3689333031946115,162,2,28,256,0.0040710255870962,41,UP/DOWN
41,LSTM,0.6902734041213989,0.532953620829943,0.3476645435244161,178,1,4,256,0.0308348038149975,24,UP/DOWN
42,LSTM,0.6915212869644165,0.532953620829943,0.3476645435244161,170,1,4,256,0.0296352940009592,22,UP/DOWN
43,LSTM,0.6919916272163391,0.532953620829943,0.3476645435244161,136,1,4,256,0.0172480476787525,48,UP/DOWN
44,LSTM,0.6905084848403931,0.5321782178217822,0.3473344103392569,189,1,21,256,0.007549169105532,10,UP/DOWN
45,LSTM,0.6934965252876282,0.532953620829943,0.3476645435244161,117,1,4,256,0.0297984825198525,38,UP/DOWN
46,LSTM,0.6912650465965271,0.5277324632952691,0.5224453137876867,149,1,7,32,0.0675723150434716,22,UP/DOWN
47,LSTM,0.690000057220459,0.5350734094616639,0.4663361527817233,214,3,7,256,0.0044174071849768,58,UP/DOWN
48,LSTM,0.6942625641822815,0.534257748776509,0.381691316425174,223,3,7,256,0.0051110794922245,53,UP/DOWN
49,LSTM,0.6913490891456604,0.5228384991843393,0.4271828764251343,250,3,7,256,0.0019318550437796,64,UP/DOWN
50,LSTM,0.6904199719429016,0.5285481239804242,0.3851981412652306,215,3,7,256,0.0006275352904433,34,UP/DOWN
51,LSTM,0.691077470779419,0.5324036095159967,0.3474304068522484,179,2,14,64,0.0138102532197962,76,UP/DOWN
52,LSTM,0.6910513639450073,0.532626427406199,0.3475252794039383,197,3,7,256,0.0199708357255231,50,UP/DOWN
53,LSTM,0.6935229897499084,0.5305280528052805,0.3619370567580945,160,1,21,256,0.0091651934374483,107,UP/DOWN
54,LSTM,0.694458544254303,0.5207485760781123,0.3974211378459258,235,1,4,128,0.0047457227763677,45,UP/DOWN
55,LSTM,0.691458523273468,0.532626427406199,0.3475252794039383,147,2,7,32,0.02473637132747,81,UP/DOWN
