trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
14,LSTM_DA,634.3104248046875,520.3531494140625,0.8559367060661316,190,1,4,64,0.0003958127588725,66
15,LSTM_DA,1101.253662109375,858.6875,0.5650622844696045,105,2,7,128,0.0023114116416878,129
16,LSTM_DA,806.395751953125,674.373779296875,0.7671661972999573,159,1,4,256,0.000308308194415,41
17,LSTM_DA,1365.606689453125,1066.9512939453125,0.3311887383460998,266,2,7,32,0.0011834374627811,82
18,LSTM_DA,707.3015747070312,541.5609741210938,0.8192167282104492,229,1,21,64,0.0003696620536091,117
19,LSTM_DA,976.1146850585938,790.8338012695312,0.6573550701141357,94,2,14,128,0.003762311254574,155
20,LSTM_DA,697.1862182617188,510.7646789550781,0.823739767074585,205,1,28,128,0.0001910401020371,86
21,LSTM_DA,701.9904174804688,565.4270629882812,0.8235539197921753,259,1,4,256,0.0008698831118179,61
22,LSTM_DA,566.6262817382812,453.9565734863281,0.8850409984588623,237,1,4,256,0.0014140492338222,73
23,LSTM_DA,504.9055786132813,382.1228637695313,0.9087212085723876,282,1,4,256,0.0015587957107043,112
24,LSTM_DA,1811.759521484375,1474.918701171875,-0.1753053665161132,279,1,4,256,0.0166920613113965,108
25,LSTM_DA,677.9762573242188,516.7376708984375,0.8351529240608215,288,1,7,256,0.0035779680051944,118
26,LSTM_DA,1199.00244140625,916.8458862304688,0.4852578639984131,270,2,4,256,0.0023770893728671,42
27,LSTM_DA,563.8287353515625,455.1449279785156,0.8861733675003052,245,1,4,256,0.0015368761081435,155
