trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
39,LSTM_AA,1926.716796875,1563.909423828125,-0.3349913358688354,108,1,14,256,0.0526721525753976,169
40,LSTM_AA,2572.76708984375,2171.564697265625,-1.400257587432861,50,3,28,128,0.0047846913393581,124
41,LSTM_AA,746.8948974609375,603.3531494140625,0.7999349236488342,130,1,7,256,0.0022317922977653,139
42,LSTM_AA,849.3771362304688,659.2696533203125,0.7412660121917725,140,1,7,256,0.003783780302672,146
43,LSTM_AA,629.3971557617188,474.0787048339844,0.8579301834106445,130,1,7,256,0.001873588434289,157
44,LSTM_AA,628.827392578125,486.7959899902344,0.8581873178482056,119,1,7,256,0.0016014416701555,163
45,LSTM_AA,812.1326293945312,617.884033203125,0.7634591460227966,119,1,7,256,0.0008808683228946,188
46,LSTM_AA,970.7188110351562,826.35595703125,0.6620603203773499,98,1,7,256,0.0005420007602245,163
47,LSTM_AA,551.4530639648438,425.0345764160156,0.8909389972686768,212,1,7,256,0.001569116490752,106
48,LSTM_AA,724.5032958984375,555.2494506835938,0.8117508888244629,217,1,7,256,0.001272833483511,102
49,LSTM_AA,1254.8214111328125,931.7057495117188,0.435302197933197,237,2,7,256,0.0009317142780014,109
50,LSTM_AA,464.7654113769531,358.2794494628906,0.9225324392318726,267,1,7,64,0.0004284130662553,95
51,LSTM_AA,1250.1982421875,1094.268310546875,0.4394555687904358,274,1,7,64,0.0004769911365456,94
52,LSTM_AA,1357.9451904296875,1222.5213623046875,0.3386722207069397,297,1,7,64,0.0007752215611173,80
53,LSTM_AA,1139.5784912109375,1040.8121337890625,0.534263014793396,268,1,7,64,0.0014783471098321,69
54,LSTM_AA,704.8449096679688,539.0914306640625,0.8218280076980591,206,1,7,64,0.0027671193485525,87
55,LSTM_AA,1756.980224609375,1605.711181640625,-0.1155339479446411,280,1,21,64,0.000349654980932,50
56,LSTM_AA,848.555908203125,695.3768310546875,0.741766095161438,262,1,7,256,0.0002293268681321,12
57,LSTM_AA,1112.622314453125,903.0040893554688,0.5560358762741089,240,2,7,32,0.0011721186191703,98
58,LSTM_AA,1036.5025634765625,894.4898071289062,0.6147053241729736,172,1,7,64,0.0006567470476757,123
59,LSTM_AA,542.9265747070312,412.2468566894531,0.8944563865661621,193,1,4,256,0.0017678890657105,67
60,LSTM_AA,540.1094360351562,426.96826171875,0.8955488801002502,231,2,4,64,0.0003904980843178,39
61,LSTM_AA,944.1614379882812,711.22021484375,0.6808152198791504,231,2,4,64,0.0004020369187934,59
62,LSTM_AA,1041.6212158203125,837.1409301757812,0.611519455909729,189,3,4,64,0.0010658177850319,22
63,LSTM_AA,1050.2574462890625,900.3333740234375,0.6050509214401245,249,2,4,64,0.0001476200680556,38
64,LSTM_AA,1042.7181396484375,862.5197143554688,0.6107008457183838,199,1,4,64,0.0003066793386943,42
